broken,carcase,distance,drive_unit,fuel,model,power,price,transmission,volume,year
True,седан,177000,задний,бензин, BMW 5 серия,218,560000,AT,2.5,2008
True,внедорожник,174000,задний,бензин, BMW X1,150,630000,AT,2.0,2011
True,седан,85000,задний,бензин, BMW 5 серия,180,1199000,AT,1.8,2013
True,седан,190000,задний,бензин, BMW 3 серия,125,100000,MT,1.8,1998
True,купе,200000,задний,бензин, BMW 3 серия,193,150000,MT,2.8,1999
True,универсал,360000,полный,бензин, BMW X5,231,416000,AT,3.0,2002
True,внедорожник,20700,полный,дизель, BMW X5,249,3150000,AT,3.0,2014
True,универсал,375000,полный,бензин, BMW X5,231,485000,AT,3.0,2001
True,седан,128000,полный,бензин, BMW 5 серия,272,750000,AT,3.0,2007
True,внедорожник,102000,полный,бензин, BMW X5,306,1290000,AT,3.0,2011
True,универсал,269000,полный,бензин, BMW X5,231,700000,AT,3.0,2005
True,седан,135000,задний,бензин, BMW 5 серия,218,539000,AT,2.5,2006
True,внедорожник,81000,передний,бензин, BMW X1,150,659000,AT,2.0,2012
True,седан,200000,задний,бензин, BMW 5 серия,120,50000,MT,2.0,1992
True,универсал,226000,задний,бензин, BMW 5 серия,218,605000,AT,2.5,2007
True,седан,145000,полный,бензин, BMW 7 серия,407,1049000,AT,4.4,2011
True,внедорожник,202000,полный,дизель, BMW X3,177,859000,AT,2.0,2010
True,седан,260000,задний,дизель, BMW 7 серия,231,699000,AT,3.0,2007
True,седан,300000,задний,бензин, BMW 7 серия,235,50000,AT,3.5,1997
True,внедорожник,161000,полный,дизель, BMW X5,265,1075000,AT,3.0,2009
True,седан,217000,задний,бензин, BMW 7 серия,286,365000,AT,4.4,1998
True,купе,345443,задний,бензин, BMW 3 серия,150,250000,MT,2.0,1999
True,внедорожник,187987,полный,бензин, BMW X5,286,329000,AT,4.4,2000
True,хетчбэк,110000,задний,бензин, BMW 1 серия,136,699000,AT,1.6,2012
True,седан,205000,задний,бензин, BMW 5 серия,150,275000,MT,2.0,1991
True,универсал,72000,полный,дизель, BMW X6,245,2599000,AT,3.0,2012
True,внедорожник,49500,полный,дизель, BMW X6,245,2575000,AT,3.0,2012
True,внедорожник,97000,полный,бензин, BMW X5,408,1400000,AT,4.4,2012
True,внедорожник,58000,полный,бензин, BMW X3,245,1549990,AT,2.0,2013
True,седан,315000,задний,бензин, BMW 5 серия,231,330000,AT,3.0,2001
